iter	RMSE
0	14.96113851
1	14.57332724
2	14.19380577
3	13.82209166
4	13.47881937
5	13.18488754
6	12.87332491
7	12.59256456
8	12.30352225
9	12.00661924
10	11.71336736
11	11.45440806
12	11.23188066
13	10.97154002
14	10.7280163
15	10.49224522
16	10.27885058
17	10.0705864
18	9.851590508
19	9.669835134
20	9.496063783
21	9.32217876
22	9.144435485
23	8.980064777
24	8.826170364
25	8.676293804
26	8.533947809
27	8.39747295
28	8.261938417
29	8.139221204
30	8.038278348
31	7.936883013
32	7.826322686
33	7.725655999
34	7.609722347
35	7.513042867
36	7.421830475
37	7.338813636
38	7.252710935
39	7.1751237
40	7.092776269
41	7.020054685
42	6.948438374
43	6.885999218
44	6.818475036
45	6.758702823
46	6.690545198
47	6.630598698
48	6.570397147
49	6.519979139
50	6.467679128
51	6.42033706
52	6.365165512
53	6.318370863
54	6.276774495
55	6.236660808
56	6.188650746
57	6.151640364
58	6.115250161
59	6.08368821
60	6.049615879
61	6.016144663
62	5.986417619
63	5.951421477
64	5.922767563
65	5.892654393
66	5.868231963
67	5.844382272
68	5.815064479
69	5.793487841
70	5.768183732
71	5.750199379
72	5.72843664
73	5.701720209
74	5.680174641
75	5.660875094
76	5.643937485
77	5.623852513
78	5.609365232
79	5.589858366
80	5.574156365
81	5.557980284
82	5.541324035
83	5.527609742
84	5.510103958
85	5.490959892
86	5.477147695
87	5.46638815
88	5.451959921
89	5.437747202
90	5.423681927
91	5.412560633
92	5.399109051
93	5.391937001
94	5.380457703
95	5.369717631
96	5.357915717
97	5.344594095
98	5.335471188
99	5.325787627
100	5.315415298
101	5.307069277
102	5.298283198
103	5.292079852
104	5.283093812
105	5.274911347
106	5.26246899
107	5.256298039
108	5.24901743
109	5.240962057
110	5.229695871
111	5.22354369
112	5.214647214
113	5.211076109
114	5.205110138
115	5.197300816
116	5.189984972
117	5.183794295
118	5.177700375
119	5.170264365
120	5.164166992
121	5.159707296
122	5.154933507
123	5.147217012
124	5.141844849
125	5.137979943
126	5.134465814
127	5.126779881
128	5.11937724
129	5.115470183
130	5.110719065
131	5.103788632
132	5.095923246
133	5.090669906
134	5.086316976
135	5.080588422
136	5.075370298
137	5.071106547
138	5.06774884
139	5.06183931
140	5.058137025
141	5.051652717
142	5.047690838
143	5.04252859
144	5.038339075
145	5.035606614
146	5.028455024
147	5.024516484
148	5.018064303
149	5.014865364
150	5.010502818
151	5.006888466
152	5.001687594
153	4.999157139
154	4.994552085
155	4.992149751
156	4.986786783
157	4.983966966
158	4.976531973
159	4.97076428
160	4.965856857
161	4.960844136
162	4.957053322
163	4.953398032
164	4.950088293
165	4.943564967
166	4.939872924
167	4.935599129
168	4.932124604
169	4.926131698
170	4.921174722
171	4.91686866
172	4.914566519
173	4.908700739
174	4.906592367
175	4.9029401
176	4.898674909
177	4.89438369
178	4.891219622
179	4.885005827
180	4.881723396
181	4.878578882
182	4.876413562
183	4.870682424
184	4.8648198
185	4.857501022
186	4.855845103
187	4.853416554
188	4.848475128
189	4.845581841
190	4.838661814
191	4.835923091
192	4.831392531
193	4.828235982
194	4.824935639
195	4.82217872
196	4.81834527
197	4.813928992
198	4.810362992
199	4.80623628
200	4.802113699
201	4.797747607
202	4.793943386
203	4.790668701
204	4.786849223
205	4.781968029
206	4.78030773
207	4.774770565
208	4.768028953
209	4.762992471
210	4.759469555
211	4.756955368
212	4.753103637
213	4.745888959
214	4.743187873
215	4.74161309
216	4.737185201
217	4.730947861
218	4.725298141
219	4.721939933
220	4.720864472
221	4.718594891
222	4.714585879
223	4.712254608
224	4.709474399
225	4.706775058
226	4.703702144
227	4.699372473
228	4.697382157
229	4.692633738
230	4.6883625
231	4.686294685
232	4.678898309
233	4.67322292
234	4.66763977
235	4.663583381
236	4.660201655
237	4.653956507
238	4.651878674
239	4.649253451
240	4.646983373
241	4.641797702
242	4.638328045
243	4.635378943
244	4.630675579
245	4.625985403
246	4.620860579
247	4.618077783
248	4.615158002
249	4.612752876
250	4.610939497
251	4.609525501
252	4.606296557
253	4.600347924
254	4.593744745
255	4.588636022
256	4.584321074
257	4.580767285
258	4.577106408
259	4.571191363
260	4.566034713
261	4.563828986
262	4.563093982
263	4.561808941
264	4.555228486
265	4.551132796
