iter	Passed	Remaining
0	0	80
1	1	72
2	2	71
3	2	68
4	3	67
5	4	65
6	4	65
7	5	65
8	6	65
9	7	64
10	7	63
11	8	62
12	9	62
13	10	61
14	10	60
15	11	59
16	12	59
17	12	58
18	13	57
19	14	57
20	14	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	19	51
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	23	46
33	23	45
34	24	45
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	41
41	29	40
42	30	39
43	30	39
44	31	38
45	31	37
46	32	36
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	38	31
55	39	30
56	40	30
57	44	32
58	45	31
59	46	31
60	47	30
61	68	42
62	70	41
63	71	40
64	71	38
65	72	37
66	73	36
67	74	34
68	75	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	84	19
81	85	18
82	86	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	92	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	99	4
96	100	3
97	101	2
98	102	1
99	102	0
